['798', '54', '634', '843', '260', '188', '41', '876', '322', '34', '926', '565', '286', '221', '693', '761', '130', '375', '965', '4', '209', '152', '370', '299', '846', '855', '431', '383', '915', '788', '150', '151', '845', '756', '683', '672', '505', '789', '945', '94']
['605', '794', '248', '882', '822', '707', '784', '196', '166', '278', '44', '424', '50', '258', '140', '320', '628', '80', '535', '292', '10', '856', '893', '584', '927', '206', '227', '989', '608', '429', '110', '137', '903', '958', '842', '414', '384', '73', '59', '355']
['382', '201', '458', '670', '161', '296', '763', '526', '723', '285', '182', '46', '632', '291', '216', '635', '272', '718', '716', '922', '132', '511', '850', '914', '717', '324', '379', '300', '682', '72', '396', '53', '737', '725', '953', '127', '365', '397', '323', '284']
['153', '172', '709', '155', '295', '865', '65', '169', '691', '225', '70', '468', '281', '332', '626', '835', '312', '254', '976', '352', '207', '887', '770', '224', '745', '592', '432', '466', '571', '944', '483', '743', '79', '246', '82', '388', '985', '890', '69', '910']
['351', '556', '964', '957', '128', '727', '739', '89', '288', '851', '744', '271', '692', '494', '126', '979', '821', '596', '205', '641', '199', '994', '114', '857', '470', '734', '118', '560', '767', '289', '931', '85', '860', '146', '660', '301', '781', '832', '395', '353']
['975', '780', '811', '629', '25', '747', '901', '815', '751', '97', '143', '908', '776', '357', '622', '564', '86', '644', '2', '762', '195', '735', '247', '16', '638', '228', '394', '26', '459', '387', '684', '852', '699', '553', '873', '88', '775', '936', '913', '708']
['754', '467', '706', '607', '773', '164', '390', '369', '190', '403', '266', '434', '585', '451', '81', '617', '203', '889', '991', '418', '256', '316', '658', '48', '962', '620', '614', '579', '986', '701', '78', '764', '664', '790', '548', '472', '500', '160', '438', '268']
['956', '33', '568', '3', '580', '147', '329', '183', '236', '700', '806', '421', '175', '712', '509', '759', '233', '326', '547', '63', '680', '715', '327', '145', '597', '251', '648', '9', '566', '461', '816', '695', '469', '318', '771', '532', '453', '938', '982', '593']
['844', '223', '837', '694', '430', '587', '612', '360', '923', '942', '62', '173', '22', '983', '992', '803', '874', '123', '106', '433', '339', '491', '687', '875', '23', '918', '849', '93', '290', '423', '721', '637', '37', '884', '237', '517', '554', '783', '698', '427']
['665', '861', '572', '381', '679', '229', '645', '550', '833', '970', '862', '385', '777', '129', '704', '932', '529', '562', '180', '869', '507', '909', '487', '60', '29', '313', '214', '765', '96', '993', '981', '671', '534', '275', '412', '594', '297', '222', '513', '569']
['417', '66', '359', '389', '802', '419', '636', '656', '377', '238', '307', '331', '640', '899', '935', '498', '486', '186', '650', '135', '262', '264', '441', '838', '818', '185', '448', '165', '611', '356', '36', '399', '259', '338', '621', '77', '542', '194', '481', '662']
['333', '496', '392', '371', '898', '133', '342', '124', '615', '105', '422', '102', '267', '792', '67', '409', '478', '616', '380', '714', '462', '746', '984', '378', '149', '904', '703', '163', '211', '606', '900', '768', '64', '877', '600', '980', '364', '514', '867', '758']
['100', '657', '673', '74', '830', '961', '888', '240', '998', '309', '167', '503', '943', '574', '499', '967', '786', '277', '457', '966', '308', '19', '298', '760', '702', '361', '120', '455', '269', '12', '677', '793', '249', '415', '471', '261', '681', '270', '883', '896']
['109', '189', '398', '210', '348', '582', '829', '630', '804', '493', '104', '515', '83', '425', '800', '340', '38', '242', '502', '368', '817', '435', '202', '819', '907', '627', '586', '814', '847', '45', '492', '279', '968', '191', '141', '705', '639', '740', '181', '354']
['711', '407', '905', '168', '659', '402', '116', '253', '603', '820', '119', '445', '480', '912', '960', '655', '108', '334', '15', '232', '57', '928', '162', '475', '479', '808', '766', '807', '859', '400', '121', '90', '920', '753', '731', '558', '55', '495', '933', '488']
['911', '521', '719', '810', '999', '733', '653', '841', '43', '799', '946', '226', '107', '647', '840', '919', '950', '729', '497', '791', '303', '31', '555', '633', '408', '35', '848', '76', '724', '539', '947', '363', '618', '156', '444', '595', '420', '193', '142', '263']
['235', '117', '416', '668', '676', '265', '527', '344', '949', '449', '447', '5', '696', '95', '530', '787', '567', '374', '796', '541', '508', '450', '588', '868', '485', '885', '778', '675', '489', '460', '528', '17', '343', '863', '101', '697', '524', '575', '230', '710']
['590', '570', '305', '954', '179', '42', '951', '283', '663', '56', '113', '782', '937', '941', '713', '772', '538', '144', '347', '738', '436', '476', '601', '678', '546', '948', '774', '689', '895', '797', '894', '437', '40', '752', '854', '218', '625', '940', '330', '257']
['858', '231', '646', '720', '624', '610', '372', '591', '892', '139', '824', '987', '959', '540', '686', '929', '501', '376', '51', '795', '345', '577', '24', '122', '906', '853', '184', '282', '537', '319', '346', '728', '490', '366', '921', '103', '730', '726', '742', '239']
['643', '477', '872', '561', '613', '358', '335', '484', '99', '220', '21', '325', '187', '589', '473', '159', '531', '404', '49', '154', '825', '250', '197', '252', '536', '805', '294', '439', '881', '930', '666', '39', '520', '519', '897', '27', '134', '902', '75', '243']
['736', '386', '443', '136', '939', '952', '310', '685', '828', '367', '557', '769', '32', '410', '748', '208', '741', '619', '978', '442', '328', '452', '988', '871', '157', '11', '559', '391', '280', '583', '990', '549', '174', '131', '170', '234', '274', '30', '623', '674']
['92', '598', '504', '880', '925', '836', '91', '690', '341', '20', '878', '779', '47', '518', '551', '148', '273', '287', '115', '924', '177', '545', '198', '7', '973', '98', '28', '864', '1', '463', '474', '255', '955', '977', '405', '112', '84', '631', '293', '393']
['18', '916', '563', '440', '755', '465', '576', '972', '516', '870', '891', '52', '13', '454', '158', '649', '599', '178', '6', '578', '963', '413', '573', '411', '831', '311', '879', '654', '428', '362', '350', '750', '826', '749', '969', '111', '373', '544', '512', '306']
['204', '801', '812', '315', '87', '241', '176', '321', '314', '839', '934', '581', '823', '506', '217', '482', '809', '317', '245', '219', '602', '522', '446', '533', '14', '349', '917', '609', '68', '543', '302', '456', '125', '732', '58', '525', '886', '722', '523', '171']
