['204', '299', '591', '66', '67', '580', '568', '354', '44', '197', '174', '195', '312', '590', '398', '235', '665', '427', '686', '200', '285', '406', '513', '731', '192', '28', '749', '212', '742', '55']
['452', '281', '708', '176', '489', '734', '255', '375', '637', '92', '578', '611', '169', '560', '259', '131', '112', '321', '162', '714', '13', '687', '583', '333', '705', '338', '278', '187', '0', '184']
['76', '224', '240', '399', '743', '401', '428', '396', '137', '444', '247', '325', '416', '481', '248', '114', '328', '128', '682', '546', '561', '464', '594', '179', '346', '633', '741', '36', '533', '581']
['480', '282', '116', '52', '15', '638', '183', '301', '3', '747', '253', '623', '744', '4', '715', '567', '268', '320', '606', '302', '486', '142', '726', '554', '470', '740', '318', '539', '154', '448']
['123', '139', '40', '149', '295', '34', '369', '644', '209', '501', '363', '64', '532', '733', '269', '270', '109', '451', '662', '156', '663', '574', '305', '125', '727', '698', '351', '237', '216', '508']
['31', '90', '264', '628', '531', '147', '343', '56', '276', '648', '402', '573', '331', '716', '210', '322', '545', '608', '632', '5', '746', '435', '243', '230', '62', '592', '547', '439', '244', '365']
['143', '503', '500', '120', '605', '654', '572', '225', '30', '537', '129', '329', '618', '459', '599', '383', '180', '104', '280', '382', '649', '193', '274', '107', '657', '303', '409', '191', '117', '454']
['390', '196', '479', '99', '737', '135', '647', '707', '102', '2', '689', '621', '701', '395', '175', '476', '105', '538', '198', '408', '555', '488', '348', '437', '81', '122', '700', '495', '612', '643']
['597', '458', '380', '624', '478', '26', '242', '58', '130', '386', '498', '681', '49', '344', '656', '132', '287', '373', '133', '565', '690', '570', '266', '542', '368', '293', '220', '540', '356', '410']
['598', '672', '39', '394', '650', '629', '46', '419', '446', '548', '420', '627', '345', '475', '86', '172', '441', '616', '157', '674', '54', '477', '291', '93', '393', '713', '669', '414', '47', '462']
['178', '413', '463', '167', '337', '543', '262', '202', '361', '566', '389', '748', '483', '229', '391', '655', '347', '511', '717', '327', '688', '550', '614', '336', '11', '203', '304', '660', '609', '12']
['362', '642', '517', '214', '400', '45', '257', '14', '725', '41', '551', '205', '562', '91', '260', '29', '298', '456', '213', '601', '121', '664', '61', '182', '236', '493', '430', '376', '19', '110']
['676', '424', '453', '585', '431', '314', '582', '251', '426', '71', '696', '111', '201', '505', '723', '118', '370', '60', '447', '436', '232', '16', '126', '59', '738', '23', '492', '534', '324', '252']
['69', '677', '217', '418', '84', '151', '355', '695', '604', '223', '78', '228', '721', '639', '739', '552', '296', '316', '106', '297', '387', '371', '709', '718', '85', '392', '527', '313', '719', '82']
['306', '588', '397', '518', '615', '711', '290', '153', '22', '159', '317', '530', '509', '671', '429', '699', '63', '559', '48', '640', '670', '87', '571', '199', '524', '188', '553', '273', '164', '415']
['267', '641', '308', '377', '385', '283', '127', '221', '148', '732', '51', '525', '745', '8', '403', '504', '215', '194', '163', '512', '96', '485', '607', '490', '496', '712', '526', '457', '659', '227']
['668', '25', '404', '619', '535', '442', '79', '482', '10', '155', '145', '165', '417', '729', '334', '190', '160', '277', '626', '326', '541', '520', '544', '680', '239', '17', '261', '645', '374', '697']
['186', '170', '158', '472', '491', '100', '563', '730', '74', '57', '558', '108', '42', '468', '138', '704', '222', '678', '323', '586', '292', '1', '340', '497', '37', '35', '146', '263', '21', '692']
['241', '88', '286', '140', '440', '141', '506', '736', '636', '557', '94', '249', '603', '610', '349', '294', '284', '564', '460', '271', '7', '693', '367', '523', '307', '487', '339', '449', '168', '494']
['521', '18', '311', '728', '667', '360', '443', '634', '675', '65', '185', '161', '434', '359', '631', '556', '279', '706', '38', '124', '425', '353', '80', '206', '171', '600', '411', '231', '622', '584']
['684', '77', '587', '536', '499', '528', '576', '653', '593', '144', '219', '433', '275', '103', '652', '166', '720', '207', '101', '43', '522', '407', '113', '258', '150', '412', '702', '366', '735', '265']
['549', '319', '722', '438', '450', '421', '630', '364', '335', '703', '352', '502', '27', '484', '422', '466', '9', '683', '661', '211', '181', '617', '24', '152', '238', '577', '455', '379', '635', '384']
['514', '691', '372', '596', '246', '467', '218', '405', '208', '254', '575', '245', '666', '469', '432', '658', '83', '342', '378', '679', '315', '710', '98', '357', '32', '461', '189', '625', '646', '471']
['20', '309', '473', '595', '115', '358', '95', '89', '620', '233', '602', '445', '381', '70', '510', '685', '6', '177', '50', '465', '33', '341', '136', '589', '73', '519', '72', '226', '724', '613']
