['511', '379', '390', '773', '307', '105', '856', '804', '131', '746', '185', '562', '155', '530', '342', '6', '465', '440', '32', '610', '882', '709', '841', '735', '19', '376', '886', '423', '738', '199', '571', '438', '697', '41', '229', '883', '426', '766', '639', '350', '249', '90', '626', '63', '877', '810', '617', '833', '431', '254']
['682', '745', '410', '444', '539', '729', '693', '53', '57', '832', '367', '137', '69', '871', '88', '246', '869', '818', '853', '422', '503', '445', '771', '515', '120', '705', '427', '388', '776', '789', '215', '160', '60', '420', '174', '154', '39', '270', '170', '252', '628', '545', '730', '808', '622', '828', '38', '807', '665', '68']
['836', '688', '128', '48', '387', '650', '369', '502', '132', '593', '206', '840', '109', '424', '18', '99', '524', '839', '138', '226', '694', '826', '392', '565', '533', '847', '761', '327', '300', '208', '98', '429', '86', '133', '802', '577', '248', '548', '455', '380', '473', '230', '754', '123', '751', '59', '299', '396', '496', '102']
['609', '194', '817', '78', '51', '475', '592', '896', '192', '66', '778', '67', '512', '827', '197', '820', '638', '439', '363', '399', '311', '178', '397', '104', '228', '411', '189', '184', '27', '267', '540', '175', '811', '0', '195', '202', '408', '872', '75', '490', '482', '322', '865', '819', '520', '308', '716', '727', '546', '551']
['892', '861', '381', '297', '52', '487', '731', '587', '122', '563', '834', '415', '809', '64', '595', '288', '658', '656', '172', '829', '245', '616', '575', '321', '497', '845', '302', '673', '72', '790', '375', '339', '702', '605', '256', '695', '317', '169', '452', '225', '79', '480', '328', '500', '108', '145', '504', '741', '14', '781']
['486', '750', '348', '784', '107', '850', '417', '360', '261', '117', '365', '799', '855', '162', '657', '324', '726', '553', '823', '305', '147', '159', '561', '329', '414', '296', '647', '566', '675', '449', '94', '893', '613', '345', '242', '510', '412', '747', '298', '489', '579', '457', '815', '875', '303', '701', '89', '114', '885', '391']
['474', '340', '534', '681', '663', '891', '282', '584', '555', '634', '24', '103', '151', '889', '36', '476', '46', '280', '45', '749', '740', '210', '451', '574', '71', '378', '684', '80', '347', '864', '130', '655', '752', '842', '353', '664', '54', '29', '4', '331', '552', '460', '187', '144', '535', '366', '464', '276', '514', '708']
['607', '224', '223', '171', '25', '436', '602', '355', '275', '654', '370', '762', '769', '283', '352', '239', '768', '541', '573', '812', '491', '854', '559', '62', '884', '588', '597', '442', '368', '1', '116', '7', '218', '674', '479', '846', '624', '287', '448', '290', '589', '505', '34', '696', '447', '725', '157', '662', '141', '699']
['517', '737', '221', '434', '472', '65', '204', '200', '93', '237', '70', '121', '513', '250', '418', '134', '633', '683', '667', '734', '798', '233', '895', '462', '698', '454', '84', '494', '295', '594', '848', '304', '207', '788', '76', '787', '148', '467', '554', '312', '323', '680', '736', '838', '724', '765', '867', '349', '796', '821']
['260', '805', '168', '450', '600', '470', '435', '421', '124', '37', '792', '20', '320', '722', '316', '690', '243', '485', '113', '446', '9', '569', '580', '13', '139', '359', '294', '111', '437', '5', '591', '528', '382', '704', '100', '443', '537', '758', '292', '800', '732', '700', '262', '557', '558', '831', '407', '499', '651', '291']
['801', '263', '793', '687', '432', '119', '164', '22', '507', '691', '214', '398', '706', '343', '506', '385', '542', '898', '508', '757', '11', '779', '334', '58', '645', '668', '266', '466', '212', '83', '96', '720', '777', '235', '269', '493', '863', '669', '158', '532', '721', '844', '338', '179', '336', '401', '519', '49', '619', '894']
['711', '91', '458', '44', '770', '258', '860', '509', '816', '198', '583', '383', '314', '150', '659', '518', '409', '897', '279', '28', '783', '234', '272', '550', '755', '715', '870', '582', '357', '31', '268', '556', '289', '112', '196', '710', '173', '522', '35', '281', '888', '782', '868', '402', '143', '623', '547', '301', '85', '643']
['127', '785', '763', '748', '603', '774', '337', '425', '236', '362', '649', '483', '644', '786', '874', '822', '264', '678', '81', '572', '319', '74', '791', '23', '719', '516', '461', '549', '190', '344', '632', '599', '17', '106', '471', '481', '671', '753', '416', '756', '180', '389', '631', '201', '627', '153', '87', '15', '608', '165']
['61', '241', '767', '453', '373', '209', '216', '536', '630', '313', '543', '759', '717', '183', '203', '492', '21', '354', '253', '181', '581', '433', '419', '560', '576', '273', '712', '274', '441', '222', '707', '213', '531', '723', '498', '43', '813', '614', '140', '814', '899', '636', '468', '620', '640', '835', '238', '12', '293', '713']
['463', '356', '156', '217', '231', '247', '118', '126', '358', '686', '374', '478', '794', '586', '163', '10', '330', '188', '101', '278', '161', '618', '377', '830', '879', '271', '728', '456', '97', '876', '629', '149', '611', '866', '55', '742', '115', '525', '395', '568', '129', '635', '403', '825', '677', '601', '166', '30', '477', '244']
['73', '333', '803', '859', '590', '341', '567', '191', '851', '227', '315', '92', '364', '527', '806', '77', '42', '887', '8', '211', '220', '469', '653', '646', '596', '743', '182', '692', '405', '40', '428', '3', '666', '858', '873', '400', '526', '625', '394', '205', '661', '615', '606', '259', '484', '219', '361', '780', '251', '585']
['284', '372', '167', '346', '689', '47', '142', '849', '386', '604', '16', '286', '413', '277', '95', '598', '795', '648', '642', '186', '318', '760', '459', '857', '718', '257', '523', '26', '50', '672', '890', '501', '764', '255', '837', '136', '325', '521', '797', '232', '775', '125', '679', '641', '309', '843', '393', '306', '240', '135']
['146', '852', '862', '880', '652', '564', '404', '881', '733', '538', '578', '351', '176', '332', '570', '714', '878', '310', '495', '285', '33', '265', '544', '824', '152', '82', '685', '110', '406', '384', '488', '335', '430', '612', '744', '739', '676', '772', '703', '193', '529', '637', '2', '56', '371', '670', '660', '177', '326', '621']
