['582', '89', '419', '576', '592', '381', '91', '298', '511', '285']
['74', '361', '949', '569', '712', '670', '719', '51', '50', '879']
['725', '232', '418', '133', '68', '457', '347', '289', '634', '471']
['850', '47', '912', '480', '656', '287', '262', '188', '711', '606']
['439', '310', '602', '42', '897', '905', '730', '7', '193', '504']
['119', '367', '709', '218', '217', '502', '276', '774', '404', '69']
['210', '263', '224', '36', '586', '399', '911', '654', '253', '184']
['585', '741', '343', '866', '972', '971', '734', '539', '732', '770']
['553', '913', '140', '97', '434', '790', '805', '510', '647', '454']
['611', '489', '657', '616', '312', '789', '532', '24', '924', '522']
['139', '849', '351', '920', '412', '828', '962', '488', '941', '377']
['512', '933', '798', '144', '131', '257', '121', '626', '155', '320']
['952', '191', '590', '318', '1', '328', '479', '698', '306', '200']
['520', '368', '596', '169', '628', '392', '107', '950', '733', '914']
['960', '751', '925', '248', '132', '621', '142', '809', '49', '87']
['486', '806', '518', '417', '313', '244', '753', '130', '154', '888']
['676', '337', '891', '837', '749', '147', '0', '332', '802', '416']
['378', '76', '233', '535', '251', '907', '427', '979', '635', '704']
['158', '364', '694', '45', '53', '651', '39', '701', '932', '863']
['136', '463', '757', '110', '752', '113', '260', '234', '8', '195']
['865', '117', '46', '966', '293', '816', '199', '376', '577', '80']
['723', '636', '413', '653', '303', '743', '708', '192', '858', '345']
['848', '380', '931', '211', '736', '968', '706', '785', '52', '29']
['314', '864', '840', '497', '401', '468', '589', '534', '61', '675']
['279', '284', '30', '102', '818', '326', '614', '767', '317', '424']
['222', '896', '245', '16', '957', '926', '917', '846', '745', '382']
['242', '371', '228', '955', '984', '546', '658', '558', '66', '94']
['447', '980', '315', '696', '842', '988', '803', '970', '342', '128']
['856', '762', '464', '470', '620', '821', '259', '466', '129', '735']
['702', '855', '561', '127', '794', '910', '707', '954', '301', '60']
['895', '515', '878', '219', '607', '717', '33', '503', '307', '282']
['473', '44', '54', '887', '946', '164', '246', '75', '870', '223']
['153', '478', '290', '588', '597', '6', '729', '407', '542', '265']
['388', '334', '26', '258', '385', '379', '403', '565', '714', '433']
['458', '819', '321', '605', '648', '22', '639', '63', '189', '904']
['690', '981', '700', '527', '948', '742', '366', '350', '269', '921']
['643', '660', '161', '786', '574', '374', '524', '450', '435', '149']
['27', '477', '229', '900', '638', '549', '529', '953', '664', '916']
['247', '780', '356', '765', '57', '286', '487', '77', '354', '684']
['274', '411', '516', '831', '177', '987', '13', '358', '563', '267']
['445', '652', '710', '393', '703', '862', '672', '989', '894', '48']
['688', '940', '446', '645', '509', '763', '428', '198', '666', '432']
['448', '494', '423', '787', '43', '415', '604', '216', '79', '958']
['772', '353', '14', '124', '540', '776', '892', '566', '943', '305']
['180', '748', '801', '691', '344', '779', '685', '335', '213', '678']
['373', '919', '781', '170', '333', '99', '978', '663', '160', '500']
['822', '252', '409', '832', '19', '630', '227', '145', '112', '721']
['975', '507', '633', '135', '536', '73', '410', '903', '481', '873']
['220', '359', '889', '976', '490', '705', '998', '908', '997', '221']
['340', '336', '991', '319', '969', '108', '830', '492', '331', '249']
['754', '495', '845', '583', '146', '537', '531', '545', '3', '196']
['552', '825', '544', '990', '270', '513', '843', '579', '212', '547']
['34', '555', '387', '491', '918', '543', '613', '231', '839', '143']
['35', '793', '187', '115', '101', '671', '886', '530', '667', '631']
['655', '644', '674', '394', '796', '395', '272', '109', '986', '475']
['945', '98', '967', '67', '857', '961', '429', '292', '141', '836']
['594', '384', '792', '965', '617', '928', '482', '120', '20', '268']
['226', '560', '438', '467', '309', '426', '316', '4', '150', '365']
['255', '683', '833', '999', '841', '526', '250', '890', '687', '885']
['281', '483', '679', '65', '934', '106', '642', '877', '624', '472']
['390', '881', '56', '375', '625', '942', '209', '93', '608', '528']
['174', '508', '929', '600', '680', '95', '939', '740', '695', '731']
['372', '854', '811', '31', '930', '391', '18', '197', '795', '88']
['459', '977', '650', '348', '440', '867', '273', '506', '898', '82']
['993', '179', '899', '744', '406', '669', '462', '25', '761', '884']
['159', '363', '936', '162', '829', '243', '677', '601', '264', '398']
['716', '280', '352', '230', '23', '915', '665', '852', '883', '422']
['71', '240', '797', '859', '86', '693', '739', '173', '205', '41']
['944', '775', '804', '973', '662', '152', '570', '996', '275', '323']
['165', '171', '835', '847', '40', '72', '567', '959', '681', '330']
['295', '713', '254', '441', '123', '868', '208', '325', '461', '172']
['935', '443', '851', '771', '84', '724', '860', '261', '581', '937']
['100', '116', '810', '580', '692', '838', '476', '166', '697', '118']
['137', '278', '557', '271', '659', '800', '485', '58', '826', '964']
['951', '909', '215', '699', '442', '206', '548', '523', '357', '456']
['759', '834', '436', '923', '202', '311', '715', '369', '329', '593']
['437', '612', '727', '812', '578', '389', '575', '291', '104', '38']
['349', '629', '134', '151', '720', '501', '869', '738', '827', '992']
['525', '573', '808', '308', '824', '85', '618', '5', '55', '728']
['484', '599', '815', '496', '156', '78', '10', '430', '300', '550']
['760', '324', '322', '673', '288', '408', '598', '791', '83', '499']
['396', '453', '682', '622', '178', '341', '882', '637', '880', '238']
['346', '294', '554', '148', '595', '201', '641', '541', '70', '722']
['562', '517', '901', '853', '168', '299', '963', '778', '994', '182']
['163', '62', '181', '397', '125', '922', '784', '982', '755', '425']
['17', '788', '556', '185', '627', '239', '689', '817', '105', '551']
['584', '302', '649', '296', '758', '304', '871', '572', '746', '591']
['668', '256', '768', '225', '15', '402', '469', '194', '420', '587']
['237', '12', '59', '640', '974', '96', '615', '32', '750', '872']
['603', '327', '609', '386', '236', '465', '813', '875', '956', '493']
['204', '157', '355', '559', '28', '90', '619', '773', '646', '799']
['207', '983', '283', '995', '339', '782', '362', '64', '122', '11']
['927', '538', '533', '938', '235', '451', '214', '383', '203', '902']
['876', '297', '241', '568', '474', '126', '277', '414', '9', '138']
['186', '421', '521', '807', '844', '370', '444', '2', '861', '167']
['769', '176', '103', '874', '766', '726', '92', '455', '814', '81']
['571', '114', '519', '460', '820', '610', '37', '947', '893', '737']
['405', '505', '190', '661', '514', '266', '632', '452', '823', '564']
['906', '21', '183', '747', '498', '338', '111', '985', '449', '360']
['623', '756', '764', '777', '400', '783', '175', '431', '718', '686']
