['453', '129', '321', '4', '36', '43', '118', '74', '187', '292']
['286', '341', '58', '380', '87', '480', '348', '112', '287', '462']
['192', '59', '263', '497', '283', '119', '70', '354', '447', '232']
['445', '125', '65', '68', '398', '279', '195', '378', '394', '137']
['104', '48', '268', '83', '492', '366', '140', '383', '24', '229']
['252', '265', '432', '478', '165', '289', '312', '72', '154', '56']
['122', '417', '145', '314', '303', '328', '464', '185', '302', '304']
['311', '164', '106', '298', '190', '324', '212', '412', '431', '109']
['290', '301', '228', '384', '463', '173', '40', '54', '489', '262']
['108', '470', '336', '96', '253', '80', '28', '7', '365', '382']
['171', '47', '99', '18', '141', '33', '14', '326', '369', '86']
['401', '370', '128', '308', '79', '8', '163', '30', '183', '202']
['373', '132', '126', '276', '135', '323', '375', '257', '148', '408']
['414', '174', '386', '213', '251', '12', '29', '291', '77', '343']
['91', '313', '180', '443', '44', '481', '441', '90', '176', '42']
['409', '115', '146', '361', '50', '211', '237', '196', '216', '472']
['78', '226', '17', '388', '433', '305', '53', '454', '316', '147']
['385', '325', '317', '75', '281', '189', '399', '494', '465', '466']
['142', '110', '476', '353', '254', '300', '217', '337', '25', '364']
['38', '166', '1', '246', '113', '496', '269', '73', '238', '342']
['10', '105', '442', '168', '224', '260', '205', '250', '362', '89']
['448', '347', '193', '219', '322', '475', '266', '60', '198', '55']
['184', '404', '469', '13', '355', '51', '288', '335', '131', '381']
['390', '310', '23', '320', '440', '172', '357', '392', '150', '277']
['84', '134', '220', '127', '334', '206', '61', '396', '467', '295']
['138', '458', '149', '231', '69', '204', '248', '349', '27', '403']
['393', '345', '31', '26', '247', '479', '446', '498', '405', '374']
['136', '427', '64', '159', '15', '151', '152', '34', '215', '203']
['273', '139', '402', '244', '130', '230', '98', '471', '499', '175']
['49', '182', '338', '170', '407', '199', '188', '296', '67', '160']
['397', '372', '379', '284', '222', '488', '429', '5', '485', '20']
['0', '449', '267', '200', '422', '169', '271', '452', '495', '107']
['424', '85', '97', '327', '278', '258', '94', '436', '208', '282']
['116', '389', '482', '153', '351', '318', '45', '340', '346', '356']
['275', '360', '415', '88', '331', '474', '3', '2', '227', '377']
['306', '82', '450', '92', '330', '197', '309', '52', '395', '233']
['274', '444', '477', '455', '223', '167', '16', '363', '483', '179']
['62', '191', '239', '32', '297', '428', '307', '319', '333', '210']
['350', '435', '76', '177', '162', '35', '111', '155', '430', '207']
['178', '285', '459', '413', '420', '473', '315', '117', '240', '410']
['270', '367', '280', '124', '245', '102', '376', '37', '486', '421']
['419', '299', '484', '264', '451', '368', '41', '243', '468', '400']
['339', '352', '406', '11', '22', '209', '6', '181', '221', '359']
['423', '120', '133', '387', '156', '457', '186', '242', '103', '235']
['493', '434', '114', '21', '194', '332', '161', '63', '272', '255']
['456', '490', '100', '143', '439', '66', '426', '158', '491', '93']
['358', '261', '411', '101', '19', '391', '256', '461', '294', '259']
['249', '416', '218', '9', '225', '157', '371', '460', '57', '144']
['418', '234', '438', '329', '123', '95', '437', '39', '425', '236']
