['482', '376', '592', '206', '483', '358', '489', '574', '157', '257']
['533', '456', '252', '182', '215', '120', '200', '72', '558', '60']
['2', '270', '51', '550', '367', '490', '365', '234', '395', '465']
['408', '352', '310', '360', '158', '514', '248', '583', '232', '255']
['338', '324', '398', '317', '421', '137', '97', '228', '267', '427']
['466', '473', '220', '7', '147', '412', '168', '46', '174', '523']
['272', '16', '430', '351', '149', '118', '31', '115', '107', '4']
['315', '291', '231', '190', '266', '401', '597', '363', '416', '479']
['63', '507', '346', '502', '170', '81', '181', '225', '282', '534']
['210', '183', '27', '173', '15', '18', '54', '472', '336', '382']
['576', '498', '95', '216', '53', '501', '511', '361', '127', '56']
['106', '390', '364', '591', '132', '449', '177', '28', '71', '82']
['522', '440', '487', '444', '521', '377', '25', '153', '432', '152']
['384', '486', '579', '296', '569', '548', '94', '64', '219', '250']
['567', '407', '354', '541', '102', '517', '302', '423', '189', '203']
['0', '298', '304', '86', '6', '154', '563', '43', '387', '573']
['294', '142', '493', '40', '587', '79', '598', '366', '512', '179']
['22', '55', '331', '527', '345', '565', '505', '187', '176', '265']
['80', '238', '561', '145', '126', '500', '536', '122', '596', '375']
['386', '485', '163', '37', '172', '1', '214', '459', '116', '283']
['586', '581', '460', '201', '42', '525', '57', '312', '494', '391']
['3', '8', '327', '161', '62', '167', '130', '289', '268', '9']
['226', '114', '516', '462', '478', '188', '513', '271', '510', '457']
['239', '313', '560', '316', '318', '334', '91', '35', '424', '178']
['415', '590', '431', '399', '349', '104', '531', '299', '244', '551']
['103', '547', '452', '286', '192', '77', '411', '562', '593', '92']
['374', '488', '242', '388', '546', '65', '125', '428', '78', '528']
['12', '293', '559', '186', '113', '109', '492', '404', '323', '599']
['237', '389', '480', '273', '495', '45', '61', '131', '446', '39']
['575', '117', '185', '221', '343', '333', '139', '435', '594', '260']
['202', '74', '128', '111', '555', '110', '83', '246', '499', '140']
['47', '207', '292', '13', '11', '553', '332', '370', '554', '123']
['108', '342', '38', '447', '595', '259', '409', '14', '205', '418']
['96', '197', '397', '169', '504', '330', '362', '326', '193', '570']
['23', '532', '129', '76', '50', '274', '348', '251', '341', '518']
['463', '552', '119', '171', '582', '539', '300', '580', '124', '196']
['403', '121', '235', '269', '477', '405', '393', '314', '218', '373']
['448', '454', '400', '356', '442', '410', '230', '588', '538', '254']
['165', '378', '320', '160', '515', '471', '195', '303', '32', '438']
['467', '284', '245', '213', '564', '585', '535', '359', '309', '402']
['434', '337', '450', '143', '87', '589', '21', '141', '217', '322']
['307', '52', '275', '89', '175', '26', '526', '155', '509', '433']
['305', '85', '475', '340', '241', '209', '520', '385', '105', '455']
['325', '394', '335', '33', '84', '138', '204', '301', '247', '151']
['264', '572', '437', '445', '240', '420', '261', '98', '236', '68']
['253', '164', '208', '464', '469', '556', '503', '530', '258', '281']
['429', '506', '29', '198', '329', '584', '476', '540', '484', '134']
['406', '199', '371', '224', '249', '297', '425', '70', '380', '461']
['59', '36', '357', '233', '353', '285', '144', '453', '135', '256']
['347', '413', '524', '73', '381', '417', '5', '69', '44', '150']
['162', '571', '544', '58', '184', '328', '222', '229', '419', '262']
['212', '557', '280', '519', '24', '436', '496', '194', '49', '48']
['508', '277', '90', '10', '441', '191', '549', '41', '543', '295']
['288', '101', '34', '290', '263', '396', '159', '180', '311', '156']
['383', '99', '88', '133', '392', '276', '339', '497', '19', '474']
['100', '227', '17', '458', '542', '321', '568', '166', '372', '451']
['287', '470', '379', '136', '529', '223', '577', '439', '350', '481']
['279', '93', '30', '414', '146', '545', '443', '67', '66', '243']
['566', '491', '308', '422', '426', '112', '278', '355', '306', '368']
