['785', '265', '460', '670', '832', '524', '138', '883', '88', '456', '763', '157', '482', '603', '888', '719', '484', '621', '911', '649', '533', '724', '123', '842', '341', '584', '507', '57', '94', '948', '236', '74', '756', '205', '602', '132', '12', '750', '472', '976']
['187', '457', '675', '204', '320', '41', '177', '154', '437', '624', '167', '410', '311', '172', '379', '403', '388', '441', '846', '994', '945', '923', '606', '598', '268', '72', '111', '263', '119', '317', '627', '699', '813', '521', '638', '390', '347', '594', '631', '0']
['358', '133', '266', '804', '696', '746', '65', '748', '569', '337', '423', '20', '46', '234', '604', '547', '791', '840', '511', '781', '461', '417', '700', '998', '527', '97', '179', '448', '921', '980', '481', '240', '201', '315', '811', '69', '877', '983', '432', '599']
['288', '220', '667', '941', '385', '890', '908', '573', '475', '859', '714', '568', '327', '66', '514', '281', '680', '889', '149', '10', '822', '274', '251', '643', '999', '362', '992', '734', '831', '661', '797', '961', '918', '988', '434', '51', '612', '787', '180', '987']
['858', '189', '283', '683', '572', '896', '947', '967', '772', '458', '760', '530', '614', '419', '607', '490', '586', '841', '583', '225', '21', '622', '479', '349', '136', '345', '112', '824', '174', '62', '44', '153', '543', '943', '400', '413', '395', '18', '623', '402']
['520', '478', '892', '32', '972', '389', '916', '352', '127', '571', '880', '381', '237', '207', '844', '728', '741', '450', '318', '159', '652', '314', '927', '519', '26', '407', '725', '96', '885', '973', '454', '993', '868', '125', '588', '672', '374', '857', '545', '40']
['990', '860', '910', '361', '313', '424', '433', '867', '704', '642', '436', '711', '779', '196', '292', '509', '795', '264', '500', '962', '870', '134', '712', '632', '163', '82', '871', '707', '893', '199', '517', '648', '764', '694', '523', '553', '63', '526', '975', '338']
['600', '640', '129', '963', '289', '219', '715', '95', '930', '657', '175', '765', '428', '820', '809', '452', '151', '964', '279', '422', '161', '360', '721', '253', '546', '160', '898', '471', '272', '691', '141', '203', '506', '577', '807', '566', '837', '120', '243', '838']
['33', '899', '114', '49', '245', '56', '949', '348', '181', '578', '974', '273', '833', '701', '938', '905', '109', '709', '978', '716', '487', '531', '742', '771', '319', '184', '548', '929', '942', '200', '595', '309', '645', '965', '651', '596', '654', '664', '339', '86']
['377', '70', '399', '959', '576', '818', '914', '738', '982', '925', '382', '354', '920', '48', '465', '589', '960', '717', '616', '356', '248', '796', '367', '280', '537', '678', '856', '663', '375', '971', '633', '826', '368', '737', '989', '241', '255', '541', '126', '891']
['310', '355', '498', '848', '426', '775', '956', '103', '213', '195', '412', '117', '693', '300', '935', '392', '917', '705', '183', '986', '743', '38', '810', '665', '6', '895', '351', '7', '872', '135', '828', '882', '415', '560', '799', '238', '79', '176', '3', '169']
['510', '335', '209', '247', '904', '597', '398', '267', '773', '473', '847', '24', '608', '19', '242', '876', '158', '185', '839', '122', '13', '492', '254', '244', '855', '369', '878', '190', '156', '451', '682', '306', '821', '780', '936', '386', '635', '966', '879', '827']
['984', '312', '491', '580', '147', '411', '647', '503', '107', '239', '786', '449', '269', '343', '835', '53', '282', '115', '165', '767', '939', '579', '81', '357', '208', '729', '37', '87', '261', '92', '912', '42', '198', '212', '297', '609', '464', '91', '445', '544']
['89', '540', '443', '431', '794', '865', '384', '329', '561', '549', '515', '60', '277', '222', '843', '894', '656', '108', '298', '380', '736', '363', '666', '703', '246', '766', '671', '513', '210', '344', '223', '727', '849', '29', '488', '550', '582', '926', '440', '128']
['350', '722', '518', '330', '525', '442', '270', '676', '979', '61', '328', '302', '421', '685', '592', '166', '628', '495', '378', '105', '774', '321', '913', '836', '862', '202', '427', '552', '130', '493', '747', '620', '695', '611', '14', '250', '152', '216', '559', '850']
['922', '819', '353', '293', '446', '387', '508', '221', '897', '150', '919', '197', '27', '168', '444', '629', '853', '414', '812', '864', '106', '178', '641', '211', '80', '754', '102', '802', '324', '875', '164', '139', '365', '816', '713', '116', '336', '610', '9', '430']
['397', '301', '405', '418', '605', '752', '706', '408', '585', '342', '121', '192', '259', '137', '406', '684', '100', '968', '944', '25', '284', '303', '770', '58', '749', '30', '852', '536', '723', '71', '290', '140', '425', '777', '296', '931', '866', '59', '148', '468']
['299', '64', '308', '554', '316', '874', '806', '16', '305', '814', '371', '730', '512', '93', '307', '499', '909', '538', '613', '45', '581', '77', '34', '470', '625', '502', '740', '884', '286', '486', '702', '710', '955', '792', '429', '587', '287', '534', '285', '447']
['970', '39', '8', '182', '563', '275', '776', '557', '249', '762', '646', '43', '755', '409', '76', '170', '131', '113', '564', '555', '84', '952', '985', '110', '575', '188', '516', '230', '142', '793', '932', '718', '861', '851', '636', '655', '494', '615', '474', '278']
['761', '757', '567', '708', '340', '900', '798', '815', '529', '294', '233', '626', '332', '186', '808', '256', '977', '618', '854', '690', '404', '260', '745', '768', '940', '501', '376', '562', '262', '291', '325', '463', '590', '782', '845', '669', '2', '951', '359', '886']
['903', '692', '214', '370', '769', '924', '954', '639', '829', '950', '28', '480', '5', '686', '593', '662', '455', '227', '435', '933', '4', '731', '31', '226', '235', '98', '783', '231', '258', '674', '934', '194', '323', '658', '383', '825', '881', '215', '228', '334']
['483', '928', '252', '55', '788', '522', '673', '391', '401', '863', '331', '497', '644', '462', '346', '505', '637', '887', '54', '372', '677', '295', '22', '784', '496', '276', '823', '995', '996', '73', '1', '75', '104', '619', '630', '532', '416', '744', '171', '85']
['551', '257', '574', '173', '869', '681', '997', '459', '759', '394', '143', '17', '789', '15', '668', '659', '830', '697', '732', '469', '556', '124', '957', '660', '751', '801', '322', '542', '68', '476', '953', '271', '901', '50', '47', '11', '565', '504', '937', '688']
['981', '191', '558', '229', '758', '366', '217', '146', '803', '570', '689', '726', '218', '373', '991', '90', '528', '466', '67', '155', '477', '817', '915', '720', '778', '193', '906', '687', '733', '453', '617', '224', '679', '958', '393', '326', '439', '364', '162', '83']
['902', '753', '539', '396', '969', '232', '467', '650', '438', '52', '78', '304', '333', '485', '145', '735', '36', '873', '800', '489', '601', '420', '739', '144', '946', '118', '35', '535', '99', '698', '653', '634', '834', '23', '206', '101', '805', '790', '591', '907']
