['332', '802', '541', '378', '799', '839', '396', '216', '693', '196', '229', '160', '841', '681', '621', '511', '846', '244', '875', '285', '654', '729', '648', '462', '98', '431', '949', '201', '155', '962', '807', '56', '546', '131', '374', '469', '806', '607', '424', '356', '930', '787', '714', '505', '816', '227', '14', '73', '719', '534']
['571', '271', '652', '811', '175', '362', '538', '109', '721', '634', '740', '402', '422', '812', '642', '820', '123', '543', '658', '471', '558', '914', '184', '939', '691', '108', '427', '363', '240', '6', '101', '856', '518', '695', '60', '400', '735', '105', '85', '788', '228', '413', '673', '63', '261', '660', '828', '34', '137', '148']
['139', '850', '289', '496', '775', '844', '942', '250', '744', '17', '8', '498', '597', '954', '570', '316', '235', '36', '742', '380', '103', '302', '770', '421', '609', '338', '959', '887', '393', '732', '217', '947', '93', '81', '42', '33', '71', '526', '847', '824', '215', '755', '223', '199', '671', '751', '4', '795', '737', '502']
['522', '379', '444', '140', '792', '443', '112', '13', '645', '965', '113', '766', '830', '632', '581', '295', '819', '414', '781', '504', '439', '587', '171', '32', '665', '57', '720', '167', '135', '128', '716', '37', '337', '707', '491', '207', '452', '562', '433', '833', '853', '748', '769', '15', '426', '888', '467', '308', '715', '778']
['30', '563', '826', '276', '202', '809', '122', '923', '818', '425', '893', '334', '219', '869', '401', '683', '220', '640', '146', '149', '241', '821', '800', '190', '834', '455', '776', '27', '416', '794', '514', '557', '62', '912', '372', '956', '254', '369', '865', '827', '725', '130', '845', '283', '345', '9', '783', '270', '80', '275']
['161', '717', '577', '468', '890', '908', '3', '764', '102', '180', '773', '676', '533', '304', '481', '667', '501', '874', '760', '22', '53', '442', '55', '638', '903', '415', '608', '280', '517', '786', '713', '234', '258', '191', '388', '387', '203', '649', '515', '321', '412', '257', '16', '141', '150', '703', '635', '403', '313', '166']
['465', '647', '430', '684', '176', '355', '172', '274', '709', '312', '440', '937', '835', '589', '858', '68', '29', '630', '72', '200', '151', '164', '831', '901', '861', '779', '548', '696', '457', '306', '301', '762', '592', '513', '174', '521', '318', '195', '449', '92', '615', '598', '320', '789', '902', '248', '964', '213', '842', '478']
['960', '699', '862', '745', '110', '859', '464', '212', '25', '955', '922', '840', '43', '74', '780', '575', '297', '204', '593', '689', '364', '916', '804', '84', '896', '399', '602', '492', '247', '87', '616', '361', '706', '153', '473', '252', '552', '528', '675', '866', '328', '897', '432', '309', '397', '791', '883', '637', '158', '224']
['898', '322', '451', '222', '688', '600', '620', '486', '474', '253', '83', '906', '24', '718', '377', '614', '674', '489', '366', '790', '924', '66', '503', '564', '453', '805', '134', '344', '319', '106', '28', '392', '394', '177', '934', '181', '961', '525', '739', '625', '586', '572', '895', '466', '590', '877', '913', '594', '268', '86']
['542', '516', '470', '666', '796', '182', '969', '350', '187', '646', '226', '231', '711', '65', '251', '152', '373', '765', '79', '208', '698', '237', '677', '342', '193', '627', '77', '423', '555', '116', '644', '803', '966', '851', '540', '389', '690', '917', '281', '168', '2', '410', '568', '21', '761', '605', '599', '843', '273', '855']
['774', '643', '636', '539', '260', '749', '136', '209', '127', '245', '963', '520', '836', '697', '12', '561', '612', '38', '290', '606', '5', '162', '314', '343', '678', '144', '537', '340', '569', '179', '532', '284', '408', '829', '225', '547', '553', '872', '239', '331', '639', '305', '287', '876', '327', '559', '815', '583', '945', '18']
['933', '48', '448', '310', '878', '298', '11', '383', '499', '565', '746', '367', '849', '932', '694', '354', '205', '156', '493', '1', '488', '69', '860', '670', '384', '417', '891', '263', '238', '39', '293', '823', '864', '685', '264', '935', '419', '10', '138', '349', '601', '946', '409', '793', '641', '145', '857', '798', '51', '95']
['7', '288', '927', '943', '438', '556', '315', '375', '657', '852', '743', '292', '926', '603', '958', '483', '335', '346', '957', '551', '892', '633', '49', '246', '651', '838', '163', '420', '747', '536', '351', '929', '808', '708', '910', '115', '41', '867', '183', '357', '661', '277', '35', '611', '950', '170', '585', '837', '507', '398']
['682', '88', '588', '429', '446', '848', '529', '894', '554', '365', '325', '701', '880', '236', '919', '730', '825', '623', '210', '530', '198', '494', '450', '951', '265', '296', '59', '931', '686', '390', '785', '948', '143', '437', '738', '757', '752', '214', '447', '484', '591', '454', '801', '596', '576', '352', '341', '758', '428', '971']
['884', '886', '628', '578', '754', '76', '211', '23', '291', '125', '970', '915', '173', '854', '189', '680', '881', '580', '617', '232', '523', '78', '267', '154', '650', '768', '323', '436', '186', '133', '266', '814', '326', '817', '31', '879', '157', '82', '618', '230', '510', '531', '370', '100', '579', '550', '94', '967', '549', '124']
['406', '317', '624', '70', '584', '121', '750', '653', '595', '784', '656', '911', '159', '763', '832', '626', '461', '44', '286', '404', '772', '733', '659', '395', '619', '813', '371', '64', '233', '810', '311', '411', '477', '604', '952', '662', '692', '495', '907', '218', '339', '262', '165', '573', '722', '527', '629', '741', '574', '613']
['126', '921', '868', '610', '405', '497', '147', '282', '679', '509', '324', '508', '512', '294', '279', '206', '458', '353', '479', '476', '920', '734', '120', '723', '918', '944', '622', '272', '756', '118', '582', '256', '668', '524', '300', '728', '753', '544', '870', '111', '185', '500', '968', '771', '418', '759', '330', '687', '519', '663']
['347', '782', '132', '871', '925', '19', '900', '360', '169', '434', '333', '307', '889', '255', '188', '655', '407', '358', '61', '928', '631', '368', '299', '142', '463', '242', '54', '710', '117', '953', '460', '899', '705', '259', '435', '777', '672', '114', '90', '873', '192', '97', '381', '712', '490', '221', '485', '482', '456', '736']
['767', '197', '269', '385', '545', '58', '882', '336', '560', '702', '487', '938', '0', '376', '67', '104', '905', '386', '567', '359', '278', '348', '472', '303', '40', '506', '885', '669', '26', '475', '382', '391', '129', '700', '724', '329', '726', '249', '89', '909', '664', '480', '535', '20', '863', '441', '704', '727', '940', '797']
