['191', '565', '753', '939', '138', '709', '747', '221', '166', '503', '102', '558', '142', '718', '209', '756', '582', '701', '442', '302']
['157', '218', '776', '170', '255', '196', '725', '899', '686', '941', '50', '735', '875', '642', '513', '415', '352', '674', '211', '9']
['872', '398', '175', '655', '525', '456', '919', '112', '187', '254', '330', '535', '0', '454', '882', '831', '197', '380', '660', '616']
['48', '276', '891', '25', '190', '897', '468', '859', '889', '238', '362', '563', '354', '477', '489', '865', '208', '8', '771', '418']
['810', '11', '28', '641', '626', '216', '393', '57', '630', '110', '711', '855', '135', '44', '580', '278', '423', '411', '125', '656']
['612', '826', '353', '400', '670', '521', '789', '785', '667', '76', '683', '678', '435', '396', '409', '748', '224', '312', '690', '508']
['775', '154', '680', '232', '908', '215', '516', '366', '788', '53', '752', '663', '765', '85', '536', '685', '80', '879', '13', '406']
['444', '433', '904', '91', '182', '515', '300', '983', '713', '858', '903', '817', '72', '973', '703', '857', '869', '183', '728', '648']
['640', '122', '868', '465', '180', '572', '601', '130', '938', '202', '117', '158', '850', '94', '108', '340', '247', '74', '383', '96']
['673', '377', '684', '621', '651', '299', '942', '52', '907', '105', '571', '327', '671', '618', '335', '416', '341', '165', '374', '852']
['568', '593', '16', '483', '313', '893', '272', '585', '542', '461', '426', '421', '264', '93', '169', '201', '805', '844', '464', '614']
['15', '49', '348', '644', '629', '1', '447', '228', '962', '856', '266', '804', '136', '331', '643', '637', '324', '657', '506', '631']
['829', '328', '484', '289', '589', '490', '965', '252', '837', '47', '832', '959', '29', '497', '734', '286', '650', '104', '586', '308']
['243', '836', '268', '241', '210', '379', '874', '944', '153', '239', '769', '317', '492', '932', '524', '428', '70', '732', '567', '132']
['971', '598', '984', '314', '235', '890', '214', '487', '192', '17', '162', '463', '385', '758', '861', '450', '212', '151', '339', '275']
['30', '173', '917', '979', '259', '916', '910', '23', '343', '866', '801', '205', '533', '570', '931', '798', '553', '854', '998', '779']
['448', '628', '43', '355', '564', '336', '876', '499', '886', '408', '945', '226', '623', '161', '605', '329', '498', '550', '863', '493']
['466', '906', '495', '82', '727', '501', '545', '184', '507', '172', '556', '186', '460', '649', '3', '63', '706', '895', '220', '120']
['148', '741', '818', '534', '847', '761', '261', '991', '473', '404', '388', '933', '828', '700', '469', '100', '10', '693', '18', '26']
['883', '723', '969', '658', '430', '267', '588', '547', '902', '806', '384', '691', '203', '486', '434', '760', '774', '480', '797', '751']
